animal_id,cage_id,date,group,replicate,day,p_lowU
9275,4919,2025-01-08,dose25,Rep1,2,0.2738204498479015
9275,4919,2025-01-09,dose25,Rep1,3,9.13951405380881e-06
9275,4919,2025-01-10,dose25,Rep1,4,0.9874639740739704
9275,4919,2025-01-11,dose25,Rep1,5,0.9301412797430926
9275,4919,2025-01-12,dose25,Rep1,6,0.9950530721462014
9275,4919,2025-01-13,dose25,Rep1,7,0.9995410416097599
9275,4919,2025-01-14,dose25,Rep1,8,0.0003827739466191375
9275,4919,2025-01-15,dose25,Rep1,9,0.9999991997962909
9275,4919,2025-01-16,dose25,Rep1,10,0.9999939439780647
9275,4919,2025-01-17,dose25,Rep1,11,0.012461374166873412
9275,4919,2025-01-18,dose25,Rep1,12,0.9994803741799831
9275,4919,2025-01-19,dose25,Rep1,13,0.9999972267340854
9275,4919,2025-01-20,dose25,Rep1,14,0.9999332515483401
9275,4919,2025-01-21,dose25,Rep1,15,2.862300902800301e-05
9275,4919,2025-01-22,dose25,Rep1,16,0.999985616594141
9276,4919,2025-01-08,dose25,Rep1,2,2.3005145343452326e-153
9276,4919,2025-01-09,dose25,Rep1,3,1.828069365163685e-292
9276,4919,2025-01-10,dose25,Rep1,4,5.243622062437105e-66
9276,4919,2025-01-11,dose25,Rep1,5,1.1425064599348448e-21
9276,4919,2025-01-12,dose25,Rep1,6,3.647829660099706e-101
9276,4919,2025-01-13,dose25,Rep1,7,5.531358251176507e-255
9276,4919,2025-01-14,dose25,Rep1,8,0.7891345163254522
9276,4919,2025-01-15,dose25,Rep1,9,4.3155574427547046e-92
9276,4919,2025-01-16,dose25,Rep1,10,2.918222465515331e-64
9276,4919,2025-01-17,dose25,Rep1,11,0.0
9276,4919,2025-01-18,dose25,Rep1,12,0.9006291808209915
9276,4919,2025-01-19,dose25,Rep1,13,0.9327198150558653
9276,4919,2025-01-20,dose25,Rep1,14,1.5972593586316824e-08
9276,4919,2025-01-21,dose25,Rep1,15,4.843984614915896e-26
9276,4919,2025-01-22,dose25,Rep1,16,0.9050871032123865
9277,4919,2025-01-08,dose25,Rep1,2,1.0
9277,4919,2025-01-09,dose25,Rep1,3,1.0
9277,4919,2025-01-10,dose25,Rep1,4,1.0
9277,4919,2025-01-11,dose25,Rep1,5,1.0
9277,4919,2025-01-12,dose25,Rep1,6,1.0
9277,4919,2025-01-13,dose25,Rep1,7,0.00011974122679827786
9277,4919,2025-01-14,dose25,Rep1,8,0.00011974122679827786
9277,4919,2025-01-15,dose25,Rep1,9,1.0
9277,4919,2025-01-16,dose25,Rep1,10,1.0
9277,4919,2025-01-17,dose25,Rep1,11,0.00011974122679827786
9277,4919,2025-01-18,dose25,Rep1,12,1.0
9277,4919,2025-01-19,dose25,Rep1,13,1.0
9277,4919,2025-01-20,dose25,Rep1,14,1.0
9277,4919,2025-01-21,dose25,Rep1,15,0.00011974122679827786
9277,4919,2025-01-22,dose25,Rep1,16,1.0
9278,4920,2025-01-08,dose25,Rep1,2,0.9021287658610342
9278,4920,2025-01-09,dose25,Rep1,3,0.0009692280504870134
9278,4920,2025-01-10,dose25,Rep1,4,0.7895991929575661
9278,4920,2025-01-11,dose25,Rep1,5,0.9083776657434209
9278,4920,2025-01-12,dose25,Rep1,6,0.6231189457693986
9278,4920,2025-01-13,dose25,Rep1,7,0.03198093934175281
9278,4920,2025-01-14,dose25,Rep1,8,0.14308273631850926
9278,4920,2025-01-15,dose25,Rep1,9,0.9377609037159798
9278,4920,2025-01-16,dose25,Rep1,10,0.8652338464820305
9278,4920,2025-01-17,dose25,Rep1,11,0.21058828616420844
9278,4920,2025-01-18,dose25,Rep1,12,0.9381125789365844
9278,4920,2025-01-19,dose25,Rep1,13,0.937649844878925
9278,4920,2025-01-20,dose25,Rep1,14,0.934976280017866
9278,4920,2025-01-21,dose25,Rep1,15,0.7823520407446042
9278,4920,2025-01-22,dose25,Rep1,16,9.595498628595804e-09
9279,4920,2025-01-08,dose25,Rep1,2,0.00525535892371972
9279,4920,2025-01-09,dose25,Rep1,3,1.0
9279,4920,2025-01-10,dose25,Rep1,4,0.00387944682251659
9279,4920,2025-01-11,dose25,Rep1,5,1.0
9279,4920,2025-01-12,dose25,Rep1,6,1.0
9279,4920,2025-01-13,dose25,Rep1,7,1.0
9279,4920,2025-01-14,dose25,Rep1,8,1.0
9279,4920,2025-01-15,dose25,Rep1,9,1.0
9279,4920,2025-01-16,dose25,Rep1,10,1.0
9279,4920,2025-01-17,dose25,Rep1,11,1.0
9279,4920,2025-01-18,dose25,Rep1,12,1.0
9279,4920,2025-01-19,dose25,Rep1,13,1.0
9279,4920,2025-01-20,dose25,Rep1,14,1.0
9279,4920,2025-01-21,dose25,Rep1,15,1.0
9279,4920,2025-01-22,dose25,Rep1,16,1.0
9280,4920,2025-01-08,dose25,Rep1,2,1.069766537274602e-12
9280,4920,2025-01-09,dose25,Rep1,3,4.385928658447061e-06
9280,4920,2025-01-10,dose25,Rep1,4,1.1644561989924318e-11
9280,4920,2025-01-11,dose25,Rep1,5,0.8529632110198303
9280,4920,2025-01-12,dose25,Rep1,6,6.21423168892005e-07
9280,4920,2025-01-13,dose25,Rep1,7,0.991244510349806
9280,4920,2025-01-14,dose25,Rep1,8,0.0001764399477187206
9280,4920,2025-01-15,dose25,Rep1,9,0.8094083620788806
9280,4920,2025-01-16,dose25,Rep1,10,0.000164841765614641
9280,4920,2025-01-17,dose25,Rep1,11,0.0034481398885890598
9280,4920,2025-01-18,dose25,Rep1,12,0.998552958287557
9280,4920,2025-01-19,dose25,Rep1,13,0.9992734536143456
9280,4920,2025-01-20,dose25,Rep1,14,0.9935092692939559
9280,4920,2025-01-21,dose25,Rep1,15,0.9986846656892515
9280,4920,2025-01-22,dose25,Rep1,16,0.0009079805242847494
9281,4924,2025-01-08,dose25,Rep1,2,0.9999999010590506
9281,4924,2025-01-09,dose25,Rep1,3,0.9999510897761924
9281,4924,2025-01-10,dose25,Rep1,4,0.9999999989191546
9281,4924,2025-01-11,dose25,Rep1,5,0.997979436993938
9281,4924,2025-01-12,dose25,Rep1,6,0.9999999999999993
9281,4924,2025-01-13,dose25,Rep1,7,0.004450266811308529
9281,4924,2025-01-14,dose25,Rep1,8,0.9999999999978326
9281,4924,2025-01-15,dose25,Rep1,9,1.0
9281,4924,2025-01-16,dose25,Rep1,10,0.999999999317088
9281,4924,2025-01-17,dose25,Rep1,11,0.999999789926049
9281,4924,2025-01-18,dose25,Rep1,12,1.0
9281,4924,2025-01-19,dose25,Rep1,13,1.0
9281,4924,2025-01-20,dose25,Rep1,14,0.9999694581706404
9281,4924,2025-01-21,dose25,Rep1,15,0.11134854877345599
9281,4924,2025-01-22,dose25,Rep1,16,0.9999999999999998
9282,4924,2025-01-08,dose25,Rep1,2,0.0
9282,4924,2025-01-09,dose25,Rep1,3,0.0
9282,4924,2025-01-10,dose25,Rep1,4,0.9996875304572479
9282,4924,2025-01-11,dose25,Rep1,5,0.0
9282,4924,2025-01-12,dose25,Rep1,6,0.0
9282,4924,2025-01-13,dose25,Rep1,7,0.0
9282,4924,2025-01-14,dose25,Rep1,8,0.0
9282,4924,2025-01-15,dose25,Rep1,9,0.9996875304572479
9282,4924,2025-01-16,dose25,Rep1,10,0.0
9282,4924,2025-01-17,dose25,Rep1,11,0.0
9282,4924,2025-01-18,dose25,Rep1,12,0.9996875304572479
9282,4924,2025-01-19,dose25,Rep1,13,0.9996875304572479
9282,4924,2025-01-20,dose25,Rep1,14,0.0
9282,4924,2025-01-21,dose25,Rep1,15,0.9996875304572479
9282,4924,2025-01-22,dose25,Rep1,16,0.9996875304572479
9283,4924,2025-01-08,dose25,Rep1,2,3.299659362519955e-05
9283,4924,2025-01-09,dose25,Rep1,3,1.0
9283,4924,2025-01-10,dose25,Rep1,4,1.0
9283,4924,2025-01-11,dose25,Rep1,5,1.0
9283,4924,2025-01-12,dose25,Rep1,6,1.0
9283,4924,2025-01-13,dose25,Rep1,7,1.0
9283,4924,2025-01-14,dose25,Rep1,8,1.0
9283,4924,2025-01-15,dose25,Rep1,9,1.0
9283,4924,2025-01-16,dose25,Rep1,10,1.0
9283,4924,2025-01-17,dose25,Rep1,11,3.299659362519955e-05
9283,4924,2025-01-18,dose25,Rep1,12,1.0
9283,4924,2025-01-19,dose25,Rep1,13,1.0
9283,4924,2025-01-20,dose25,Rep1,14,1.0
9283,4924,2025-01-21,dose25,Rep1,15,3.299659362519955e-05
9283,4924,2025-01-22,dose25,Rep1,16,1.0
9284,4926,2025-01-23,dose25,Rep2,2,0.1347360067908567
9284,4926,2025-01-24,dose25,Rep2,3,0.0008487629047430389
9284,4926,2025-01-25,dose25,Rep2,4,0.9537976934033559
9284,4926,2025-01-26,dose25,Rep2,5,3.836479887415343e-07
9284,4926,2025-01-27,dose25,Rep2,6,0.0032907653334133115
9284,4926,2025-01-28,dose25,Rep2,7,6.793916649950183e-18
9284,4926,2025-01-29,dose25,Rep2,8,0.9680060527986983
9284,4926,2025-01-30,dose25,Rep2,9,0.9792735002847921
9284,4926,2025-01-31,dose25,Rep2,10,3.0232033156782265e-09
9284,4926,2025-02-01,dose25,Rep2,11,0.9159368005582497
9284,4926,2025-02-02,dose25,Rep2,12,0.8806536670981939
9284,4926,2025-02-03,dose25,Rep2,13,5.807135131785976e-08
9284,4926,2025-02-04,dose25,Rep2,14,0.9672692398112855
9285,4926,2025-01-23,dose25,Rep2,2,0.11006198614734897
9285,4926,2025-01-24,dose25,Rep2,3,0.9994653072721605
9285,4926,2025-01-25,dose25,Rep2,4,0.9999999999994791
9285,4926,2025-01-26,dose25,Rep2,5,0.9999999973066942
9285,4926,2025-01-27,dose25,Rep2,6,1.0
9285,4926,2025-01-28,dose25,Rep2,7,0.24517185011904738
9285,4926,2025-01-29,dose25,Rep2,8,0.9999999988541952
9285,4926,2025-01-30,dose25,Rep2,9,1.0
9285,4926,2025-01-31,dose25,Rep2,10,0.07199143569127826
9285,4926,2025-02-01,dose25,Rep2,11,1.0
9285,4926,2025-02-02,dose25,Rep2,12,0.9999999992015067
9285,4926,2025-02-03,dose25,Rep2,13,0.999141689051663
9285,4926,2025-02-04,dose25,Rep2,14,1.0
9286,4926,2025-01-23,dose25,Rep2,2,1.1366837258252219e-08
9286,4926,2025-01-24,dose25,Rep2,3,0.8679465352626292
9286,4926,2025-01-25,dose25,Rep2,4,0.28283143097163577
9286,4926,2025-01-26,dose25,Rep2,5,0.9037619719389991
9286,4926,2025-01-27,dose25,Rep2,6,0.9429484495764162
9286,4926,2025-01-28,dose25,Rep2,7,0.006729993654970498
9286,4926,2025-01-29,dose25,Rep2,8,0.922306030392667
9286,4926,2025-01-30,dose25,Rep2,9,0.9432232804993226
9286,4926,2025-01-31,dose25,Rep2,10,0.16018515940946293
9286,4926,2025-02-01,dose25,Rep2,11,0.9319208271765784
9286,4926,2025-02-02,dose25,Rep2,12,0.8329252908422157
9286,4926,2025-02-03,dose25,Rep2,13,0.8381098615369119
9286,4926,2025-02-04,dose25,Rep2,14,0.94665080808174
9287,4930,2025-01-23,dose25,Rep2,2,0.22428864098946877
9287,4930,2025-01-24,dose25,Rep2,3,0.0025646556718584594
9287,4930,2025-01-25,dose25,Rep2,4,0.1409674400219172
9287,4930,2025-01-26,dose25,Rep2,5,0.9032732466753954
9287,4930,2025-01-27,dose25,Rep2,6,0.0003337065708565423
9287,4930,2025-01-28,dose25,Rep2,7,0.003098957339058039
9287,4930,2025-01-29,dose25,Rep2,8,0.8613400505409436
9287,4930,2025-01-30,dose25,Rep2,9,0.8139958212412729
9287,4930,2025-01-31,dose25,Rep2,10,7.68972582207502e-10
9287,4930,2025-02-01,dose25,Rep2,11,0.9550215167531199
9287,4930,2025-02-02,dose25,Rep2,12,0.9241327848611
9287,4930,2025-02-03,dose25,Rep2,13,0.9492260956769013
9287,4930,2025-02-04,dose25,Rep2,14,0.8487632682410622
9288,4930,2025-01-23,dose25,Rep2,2,1.0
9288,4930,2025-01-24,dose25,Rep2,3,1.0
9288,4930,2025-01-25,dose25,Rep2,4,1.0
9288,4930,2025-01-26,dose25,Rep2,5,1.0
9288,4930,2025-01-27,dose25,Rep2,6,5.39135493007036e-07
9288,4930,2025-01-28,dose25,Rep2,7,5.39135493007036e-07
9288,4930,2025-01-29,dose25,Rep2,8,1.0
9288,4930,2025-01-30,dose25,Rep2,9,1.0
9288,4930,2025-01-31,dose25,Rep2,10,1.0
9288,4930,2025-02-01,dose25,Rep2,11,1.0
9288,4930,2025-02-02,dose25,Rep2,12,1.0
9288,4930,2025-02-03,dose25,Rep2,13,1.0
9288,4930,2025-02-04,dose25,Rep2,14,1.0
9289,4930,2025-01-23,dose25,Rep2,2,3.882894479917959e-06
9289,4930,2025-01-24,dose25,Rep2,3,1.9248107775910557e-10
9289,4930,2025-01-25,dose25,Rep2,4,6.157558199725791e-23
9289,4930,2025-01-26,dose25,Rep2,5,2.7194616557570125e-47
9289,4930,2025-01-27,dose25,Rep2,6,2.884693253055035e-07
9289,4930,2025-01-28,dose25,Rep2,7,2.7194616557570125e-47
9289,4930,2025-01-29,dose25,Rep2,8,0.7536936276590986
9289,4930,2025-01-30,dose25,Rep2,9,0.9760457521271068
9289,4930,2025-01-31,dose25,Rep2,10,0.9396883040653923
9289,4930,2025-02-01,dose25,Rep2,11,0.9749886048650457
9289,4930,2025-02-02,dose25,Rep2,12,0.9749886048650457
9289,4930,2025-02-03,dose25,Rep2,13,0.9749886048650457
9289,4930,2025-02-04,dose25,Rep2,14,0.9593417520017129
9290,4933,2025-01-23,dose25,Rep2,2,1.3416903713472804e-05
9290,4933,2025-01-24,dose25,Rep2,3,1.0
9290,4933,2025-01-25,dose25,Rep2,4,0.9999872648943283
9290,4933,2025-01-26,dose25,Rep2,5,1.0
9290,4933,2025-01-27,dose25,Rep2,6,0.9999999999999998
9290,4933,2025-01-28,dose25,Rep2,7,0.0008880384751621205
9290,4933,2025-01-29,dose25,Rep2,8,1.0
9290,4933,2025-01-30,dose25,Rep2,9,1.0
9290,4933,2025-01-31,dose25,Rep2,10,1.0
9290,4933,2025-02-01,dose25,Rep2,11,1.0
9290,4933,2025-02-02,dose25,Rep2,12,0.9999999999984082
9290,4933,2025-02-03,dose25,Rep2,13,1.0
9290,4933,2025-02-04,dose25,Rep2,14,1.0
9291,4933,2025-01-23,dose25,Rep2,2,1.0
9291,4933,2025-01-24,dose25,Rep2,3,1.0
9291,4933,2025-01-25,dose25,Rep2,4,1.0
9291,4933,2025-01-26,dose25,Rep2,5,1.0
9291,4933,2025-01-27,dose25,Rep2,6,1.0
9291,4933,2025-01-28,dose25,Rep2,7,2.988864575904959e-05
9291,4933,2025-01-29,dose25,Rep2,8,1.0
9291,4933,2025-01-30,dose25,Rep2,9,0.00031782927278068763
9291,4933,2025-01-31,dose25,Rep2,10,1.0
9291,4933,2025-02-01,dose25,Rep2,11,1.0
9291,4933,2025-02-02,dose25,Rep2,12,1.0
9291,4933,2025-02-03,dose25,Rep2,13,1.0
9291,4933,2025-02-04,dose25,Rep2,14,1.0
9292,4933,2025-01-23,dose25,Rep2,2,1.8945533647061702e-10
9292,4933,2025-01-24,dose25,Rep2,3,0.5494034975651713
9292,4933,2025-01-25,dose25,Rep2,4,7.43637476781423e-05
9292,4933,2025-01-26,dose25,Rep2,5,1.1795577616335687e-12
9292,4933,2025-01-27,dose25,Rep2,6,0.002062267540082302
9292,4933,2025-01-28,dose25,Rep2,7,1.1509322744861225e-05
9292,4933,2025-01-29,dose25,Rep2,8,0.6249527349647752
9292,4933,2025-01-30,dose25,Rep2,9,0.8351761938465331
9292,4933,2025-01-31,dose25,Rep2,10,3.9636492473844426e-32
9292,4933,2025-02-01,dose25,Rep2,11,0.846662057771348
9292,4933,2025-02-02,dose25,Rep2,12,3.775683262568664e-15
9292,4933,2025-02-03,dose25,Rep2,13,5.4637232128822544e-05
9292,4933,2025-02-04,dose25,Rep2,14,9.746848993936086e-05
9239,4917,2025-01-08,dose5,Rep1,2,0.3000352336039
9239,4917,2025-01-09,dose5,Rep1,3,0.07903728133128798
9239,4917,2025-01-10,dose5,Rep1,4,0.9999999204284936
9239,4917,2025-01-11,dose5,Rep1,5,0.9947067299737107
9239,4917,2025-01-12,dose5,Rep1,6,0.9999999999936862
9239,4917,2025-01-13,dose5,Rep1,7,0.015564911297588522
9239,4917,2025-01-14,dose5,Rep1,8,0.9999999702432485
9239,4917,2025-01-15,dose5,Rep1,9,0.9999999999999634
9239,4917,2025-01-16,dose5,Rep1,10,0.9999999999999996
9239,4917,2025-01-17,dose5,Rep1,11,0.017520468796013343
9239,4917,2025-01-18,dose5,Rep1,12,0.9970283826914238
9239,4917,2025-01-19,dose5,Rep1,13,1.0
9239,4917,2025-01-20,dose5,Rep1,14,0.9999999999996401
9239,4917,2025-01-21,dose5,Rep1,15,0.9998585389827046
9239,4917,2025-01-22,dose5,Rep1,16,1.0
9240,4917,2025-01-08,dose5,Rep1,2,0.01010928873770916
9240,4917,2025-01-09,dose5,Rep1,3,0.0020137357975545567
9240,4917,2025-01-10,dose5,Rep1,4,1.0
9240,4917,2025-01-11,dose5,Rep1,5,1.0
9240,4917,2025-01-12,dose5,Rep1,6,1.0
9240,4917,2025-01-13,dose5,Rep1,7,1.0
9240,4917,2025-01-14,dose5,Rep1,8,1.0
9240,4917,2025-01-15,dose5,Rep1,9,1.0
9240,4917,2025-01-16,dose5,Rep1,10,1.0
9240,4917,2025-01-17,dose5,Rep1,11,1.0
9240,4917,2025-01-18,dose5,Rep1,12,1.0
9240,4917,2025-01-19,dose5,Rep1,13,1.0
9240,4917,2025-01-20,dose5,Rep1,14,1.0
9240,4917,2025-01-21,dose5,Rep1,15,1.0
9240,4917,2025-01-22,dose5,Rep1,16,1.0
9241,4917,2025-01-08,dose5,Rep1,2,1.1677374594733384e-06
9241,4917,2025-01-09,dose5,Rep1,3,7.4759380624004315e-06
9241,4917,2025-01-10,dose5,Rep1,4,0.8561207756954382
9241,4917,2025-01-11,dose5,Rep1,5,0.9319405723646004
9241,4917,2025-01-12,dose5,Rep1,6,0.9855266490465157
9241,4917,2025-01-13,dose5,Rep1,7,0.22857075289291318
9241,4917,2025-01-14,dose5,Rep1,8,0.9804469199199501
