animal_id,dose_group,event,feature,window,pct_change
9239,5 mg/kg,Rep1_Dose1,animal_bouts.active,immediate,-0.7770961145194344
9239,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_early,7.725902048455851
9239,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_sustained,15.391956373551475
9239,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_early,-9.693251533742341
9239,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_late,-42.45398773006136
9239,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_6hr,-38.97750511247443
9239,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_12hr,-0.5862304021813214
9239,5 mg/kg,Rep1_Dose1,animal_bouts.active,next_day,-17.01431492842537
9239,5 mg/kg,Rep1_Dose2,animal_bouts.active,immediate,-58.906064209274675
9239,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_early,39.51724137931035
9239,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_sustained,66.66666666666666
9239,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_early,81.86206896551722
9239,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_late,70.89655172413791
9239,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_6hr,51.40229885057468
9239,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_12hr,18.94252873563216
9239,5 mg/kg,Rep1_Dose2,animal_bouts.active,next_day,55.931034482758626
9240,5 mg/kg,Rep1_Dose1,animal_bouts.active,immediate,10.14141414141411
9240,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_early,1.5716486902927553
9240,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_sustained,13.239057239057233
9240,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_early,4.181818181818157
9240,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_late,-6.020202020202039
9240,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_6hr,-8.067340067340078
9240,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_12hr,4.592592592592578
9240,5 mg/kg,Rep1_Dose1,animal_bouts.active,next_day,-16.175084175084205
9240,5 mg/kg,Rep1_Dose2,animal_bouts.active,immediate,-14.698745770821214
9240,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_early,11.298315163528247
9240,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_sustained,40.40303931285099
9240,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_early,27.948463825569863
9240,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_late,32.16055500495538
9240,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_6hr,34.40700363396101
9240,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_12hr,3.072348860257666
9240,5 mg/kg,Rep1_Dose2,animal_bouts.active,next_day,23.108688470432746
9241,5 mg/kg,Rep1_Dose1,animal_bouts.active,immediate,-3.157894736842131
9241,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_early,3.1618594508871065
9241,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_sustained,18.934372969460682
9241,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_early,4.074074074074057
9241,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_late,-15.458089668615985
