animal_id,dose_group,event,feature,window,baseline_mean,window_mean,pct_change
0,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,5.711559564548813,3.7077679575806655,-35.083090429547816
0,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,5.711559564548813,4.2010466151013,-26.446593655840417
0,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,5.711559564548813,3.3212837726966526,-41.84979189726758
0,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,5.711559564548813,3.6154601294202746,-36.699248452889435
0,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,5.711559564548813,4.386994257019155,-23.19095673537448
0,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,5.711559564548813,2.9776344211793826,-47.86652598948074
0,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,5.711559564548813,4.209644886756571,-26.296052082070627
0,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,5.711559564548813,4.114034184517205,-27.97003799010201
0,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,3.412813339540546,4.684943205195942,37.27510821985528
0,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,3.412813339540546,3.8460331641540595,12.693920865646756
0,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,3.412813339540546,4.53267161685223,32.81334681674815
0,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,3.412813339540546,4.27455671137378,25.250234516173297
0,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,3.412813339540546,2.8259638618017706,-17.19547538506108
0,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,3.412813339540546,3.0571670789110543,-10.420911583678091
0,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,3.412813339540546,3.8344098091594474,12.353341002694835
0,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,3.412813339540546,3.9637513311636736,16.14322076276513
0,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,3.9860001646157515,3.1907963295137063,-19.94991977574849
0,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,3.9860001646157515,3.435053887687017,-13.822033471537635
0,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,3.9860001646157515,3.444132547222936,-13.59426981973171
0,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,3.9860001646157515,2.998189692861041,-24.78199776617257
0,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,3.9860001646157515,2.9795224471502495,-25.250318010524364
0,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,3.9860001646157515,2.799775782835043,-29.759767506057294
0,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,3.9860001646157515,3.851008963735447,-3.3866330984789945
0,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,3.9860001646157515,2.8098016065794185,-29.508241582065214
9239,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,10.581032529146508,13.172585042505151,24.49243498892904
